timestamp,turbine_id,wind_speed,wind_direction,power_output
2022-03-01 00:00:00,11,9.1,269,2.9
2022-03-01 00:00:00,13,11.2,148,3.7
2022-03-01 00:00:00,14,10.7,97,1.6
2022-03-01 00:00:00,15,11.0,81,4.4
2022-03-01 01:00:00,11,12.3,245,1.8
2022-03-01 01:00:00,12,11.0,293,2.2
2022-03-01 01:00:00,13,11.4,270,1.9
2022-03-01 01:00:00,14,10.4,140,2.3
2022-03-01 01:00:00,15,14.6,283,4.3
2022-03-01 02:00:00,11,14.3,135,2.9
2022-03-01 02:00:00,12,9.1,358,3.2
2022-03-01 02:00:00,13,13.7,67,3.1
2022-03-01 02:00:00,14,9.2,89,2.7
2022-03-01 02:00:00,15,9.7,303,4.5
2022-03-01 03:00:00,11,9.6,171,2.6
2022-03-01 03:00:00,12,11.0,175,2.4
2022-03-01 03:00:00,15,9.3,162,3.8
2022-03-01 04:00:00,11,9.2,316,4.2
2022-03-01 04:00:00,12,11.8,170,3.4
2022-03-01 04:00:00,14,12.3,118,1.9
2022-03-01 04:00:00,15,9.6,213,4.0
2022-03-01 05:00:00,11,14.1,176,3.2
2022-03-01 05:00:00,12,12.9,15,1.6
2022-03-01 05:00:00,13,10.6,186,2.4
2022-03-01 05:00:00,14,12.6,207,1.7
2022-03-01 05:00:00,15,10.1,332,2.0
2022-03-01 06:00:00,11,14.5,251,3.5
2022-03-01 06:00:00,12,12.0,36,3.2
2022-03-01 06:00:00,13,9.4,270,3.2
2022-03-01 06:00:00,14,13.6,27,2.4
2022-03-01 06:00:00,15,14.0,124,3.7
2022-03-01 07:00:00,11,10.4,64,2.5
2022-03-01 07:00:00,13,11.2,155,3.3
2022-03-01 08:00:00,11,13.2,346,3.7
2022-03-01 08:00:00,12,15.0,276,4.5
2022-03-01 08:00:00,13,14.4,134,2.3
2022-03-01 08:00:00,14,11.9,283,3.6
2022-03-01 08:00:00,15,13.5,242,3.9
2022-03-01 09:00:00,11,10.0,322,2.4
2022-03-01 09:00:00,12,10.0,343,2.0
2022-03-01 09:00:00,13,13.3,359,3.8
2022-03-01 09:00:00,14,12.1,216,4.3
2022-03-01 09:00:00,15,9.2,162,2.2
2022-03-01 10:00:00,11,12.0,244,3.5
2022-03-01 10:00:00,12,12.8,61,4.4
2022-03-01 10:00:00,13,11.2,115,3.9
2022-03-01 10:00:00,14,14.6,110,3.2
2022-03-01 10:00:00,15,12.0,159,2.4
2022-03-01 11:00:00,11,14.4,313,4.1
2022-03-01 11:00:00,13,14.1,172,4.3
2022-03-01 11:00:00,14,10.1,308,3.1
2022-03-01 11:00:00,15,12.9,339,2.5
2022-03-01 12:00:00,11,13.1,77,3.2
2022-03-01 12:00:00,12,13.9,178,1.6
2022-03-01 12:00:00,13,13.2,351,3.2
2022-03-01 12:00:00,14,14.9,173,3.9
2022-03-01 12:00:00,15,13.6,125,4.2
2022-03-01 13:00:00,15,9.4,91,2.0
2022-03-01 14:00:00,11,11.3,137,1.6
2022-03-01 14:00:00,13,9.8,358,3.2
2022-03-01 14:00:00,14,9.6,315,4.0
2022-03-01 14:00:00,15,9.6,297,3.8
2022-03-01 15:00:00,11,14.7,62,1.7
2022-03-01 15:00:00,12,14.5,71,2.0
2022-03-01 15:00:00,13,11.5,226,3.6
2022-03-01 15:00:00,14,12.9,147,2.9
2022-03-01 15:00:00,15,11.3,310,3.5
2022-03-01 16:00:00,11,9.3,24,1.9
2022-03-01 16:00:00,12,12.8,233,3.0
2022-03-01 16:00:00,15,13.5,253,4.3
2022-03-01 17:00:00,11,14.1,67,1.7
2022-03-01 17:00:00,12,13.3,175,4.0
2022-03-01 17:00:00,13,12.6,31,3.5
2022-03-01 17:00:00,15,11.8,106,3.1
2022-03-01 18:00:00,11,13.6,310,3.1
2022-03-01 18:00:00,12,12.3,107,4.4
2022-03-01 18:00:00,13,13.7,271,2.0
2022-03-01 18:00:00,14,9.6,273,2.5
2022-03-01 18:00:00,15,13.9,34,3.6
2022-03-01 19:00:00,11,13.3,268,1.5
2022-03-01 19:00:00,12,11.9,358,1.9
2022-03-01 19:00:00,13,9.3,138,2.3
2022-03-01 19:00:00,14,13.7,266,3.5
2022-03-01 19:00:00,15,10.3,237,4.2
2022-03-01 20:00:00,11,13.9,238,4.4
2022-03-01 20:00:00,12,9.5,87,3.9
2022-03-01 20:00:00,13,10.9,312,2.1
2022-03-01 20:00:00,14,12.3,250,4.5
2022-03-01 20:00:00,15,14.1,167,4.4
2022-03-01 21:00:00,13,11.3,148,3.4
2022-03-01 21:00:00,14,12.7,267,3.1
2022-03-01 21:00:00,15,10.7,169,3.4
2022-03-01 22:00:00,13,11.5,45,4.2
2022-03-01 22:00:00,14,11.3,15,2.2
2022-03-01 22:00:00,15,12.0,314,2.2
2022-03-01 23:00:00,12,9.7,168,3.8
2022-03-01 23:00:00,13,10.2,107,3.2
2022-03-01 23:00:00,14,10.1,93,3.1
2022-03-01 23:00:00,15,13.9,76,2.3
2022-03-02 00:00:00,11,10.4,259,2.2
2022-03-02 00:00:00,12,11.1,161,3.2
2022-03-02 00:00:00,13,14.0,102,3.9
2022-03-02 00:00:00,14,12.2,293,3.8
2022-03-02 00:00:00,15,9.8,172,2.6
2022-03-02 01:00:00,11,13.4,220,3.9
2022-03-02 01:00:00,12,14.7,169,4.3
2022-03-02 01:00:00,14,14.6,118,2.4
2022-03-02 02:00:00,11,11.3,107,2.3
2022-03-02 02:00:00,12,14.2,98,3.0
2022-03-02 02:00:00,15,9.8,79,2.9
2022-03-02 03:00:00,11,12.1,193,3.4
2022-03-02 03:00:00,12,12.2,60,1.6
2022-03-02 03:00:00,13,11.5,70,3.4
2022-03-02 03:00:00,14,13.2,32,3.0
2022-03-02 03:00:00,15,12.3,80,3.8
2022-03-02 04:00:00,11,14.4,180,2.6
2022-03-02 04:00:00,13,10.9,34,3.9
2022-03-02 04:00:00,15,12.1,171,2.4
2022-03-02 05:00:00,12,13.3,101,4.3
2022-03-02 05:00:00,13,14.3,138,4.2
2022-03-02 05:00:00,14,14.1,312,2.3
2022-03-02 05:00:00,15,9.6,256,2.1
